year,summer,fall,spring,winter,holiday season,top_season
1980,25,13,8,9,13,summer
1981,21,6,13,2,14,summer
1982,41,8,13,11,27,summer
1983,35,14,17,8,26,summer
1984,28,16,17,10,29,holiday season
1985,35,14,16,9,26,summer
1986,38,12,13,13,24,summer
1987,36,15,13,11,25,summer
1988,34,9,19,11,27,summer
1989,31,13,21,10,25,summer
1990,35,17,16,7,25,summer
1991,33,15,12,12,28,summer
1992,31,15,17,11,26,summer
1993,37,12,14,12,25,summer
1994,31,13,14,15,27,summer
1995,35,16,15,10,24,summer
1996,33,14,13,13,27,summer
1997,29,13,15,12,31,holiday season
1998,33,15,17,9,26,summer
1999,31,15,13,10,31,summer
2000,33,10,16,10,31,summer
2001,32,18,16,10,24,summer
2002,32,12,16,14,26,summer
2003,27,19,18,12,24,summer
2004,33,14,19,8,26,summer
2005,34,15,15,11,25,summer
2006,30,12,16,14,28,summer
2007,30,17,12,15,26,summer
2008,29,17,15,15,24,summer
2009,30,13,17,16,24,summer
2010,33,14,15,13,25,summer
2011,31,12,19,11,27,summer
2012,33,15,13,18,21,summer
2013,37,15,13,12,23,summer
2014,34,18,15,10,23,summer
2015,33,14,15,12,26,summer
2016,37,12,12,14,25,summer
2017,33,16,13,14,24,summer
2018,29,16,17,13,25,summer
2019,32,17,13,13,25,summer
2020,17,15,5,27,35,holiday season
2021,39,17,12,5,27,summer
2022,28,19,16,10,27,summer
