year,season,count
1980,summer,25
1981,summer,21
1982,summer,41
1983,summer,35
1984,summer,28
1985,summer,35
1986,summer,38
1987,summer,36
1988,summer,34
1989,summer,31
1990,summer,35
1991,summer,33
1992,summer,31
1993,summer,37
1994,summer,31
1995,summer,35
1996,summer,33
1997,summer,29
1998,summer,33
1999,summer,31
2000,summer,33
2001,summer,32
2002,summer,32
2003,summer,27
2004,summer,33
2005,summer,34
2006,summer,30
2007,summer,30
2008,summer,29
2009,summer,30
2010,summer,33
2011,summer,31
2012,summer,33
2013,summer,37
2014,summer,34
2015,summer,33
2016,summer,37
2017,summer,33
2018,summer,29
2019,summer,32
2020,summer,17
2021,summer,39
2022,summer,28
1980,fall,13
1981,fall,6
1982,fall,8
1983,fall,14
1984,fall,16
1985,fall,14
1986,fall,12
1987,fall,15
1988,fall,9
1989,fall,13
1990,fall,17
1991,fall,15
1992,fall,15
1993,fall,12
1994,fall,13
1995,fall,16
1996,fall,14
1997,fall,13
1998,fall,15
1999,fall,15
2000,fall,10
2001,fall,18
2002,fall,12
2003,fall,19
2004,fall,14
2005,fall,15
2006,fall,12
2007,fall,17
2008,fall,17
2009,fall,13
2010,fall,14
2011,fall,12
2012,fall,15
2013,fall,15
2014,fall,18
2015,fall,14
2016,fall,12
2017,fall,16
2018,fall,16
2019,fall,17
2020,fall,15
2021,fall,17
2022,fall,19
1980,spring,8
1981,spring,13
1982,spring,13
1983,spring,17
1984,spring,17
1985,spring,16
1986,spring,13
1987,spring,13
1988,spring,19
1989,spring,21
1990,spring,16
1991,spring,12
1992,spring,17
1993,spring,14
1994,spring,14
1995,spring,15
1996,spring,13
1997,spring,15
1998,spring,17
1999,spring,13
2000,spring,16
2001,spring,16
2002,spring,16
2003,spring,18
2004,spring,19
2005,spring,15
2006,spring,16
2007,spring,12
2008,spring,15
2009,spring,17
2010,spring,15
2011,spring,19
2012,spring,13
2013,spring,13
2014,spring,15
2015,spring,15
2016,spring,12
2017,spring,13
2018,spring,17
2019,spring,13
2020,spring,5
2021,spring,12
2022,spring,16
1980,winter,9
1981,winter,2
1982,winter,11
1983,winter,8
1984,winter,10
1985,winter,9
1986,winter,13
1987,winter,11
1988,winter,11
1989,winter,10
1990,winter,7
1991,winter,12
1992,winter,11
1993,winter,12
1994,winter,15
1995,winter,10
1996,winter,13
1997,winter,12
1998,winter,9
1999,winter,10
2000,winter,10
2001,winter,10
2002,winter,14
2003,winter,12
2004,winter,8
2005,winter,11
2006,winter,14
2007,winter,15
2008,winter,15
2009,winter,16
2010,winter,13
2011,winter,11
2012,winter,18
2013,winter,12
2014,winter,10
2015,winter,12
2016,winter,14
2017,winter,14
2018,winter,13
2019,winter,13
2020,winter,27
2021,winter,5
2022,winter,10
1980,holiday season,13
1981,holiday season,14
1982,holiday season,27
1983,holiday season,26
1984,holiday season,29
1985,holiday season,26
1986,holiday season,24
1987,holiday season,25
1988,holiday season,27
1989,holiday season,25
1990,holiday season,25
1991,holiday season,28
1992,holiday season,26
1993,holiday season,25
1994,holiday season,27
1995,holiday season,24
1996,holiday season,27
1997,holiday season,31
1998,holiday season,26
1999,holiday season,31
2000,holiday season,31
2001,holiday season,24
2002,holiday season,26
2003,holiday season,24
2004,holiday season,26
2005,holiday season,25
2006,holiday season,28
2007,holiday season,26
2008,holiday season,24
2009,holiday season,24
2010,holiday season,25
2011,holiday season,27
2012,holiday season,21
2013,holiday season,23
2014,holiday season,23
2015,holiday season,26
2016,holiday season,25
2017,holiday season,24
2018,holiday season,25
2019,holiday season,25
2020,holiday season,35
2021,holiday season,27
2022,holiday season,27
